average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
11.293,19.835,51.041,120.544,241.975,383.483,463.665,442.181,353.823,254.2,170.966,109.969,69.477,43.01,26.524,16.046,10.101,6.049,3.871,2.499,1.842,1.456,1.408,1.517,1.75,2.24,2.719,3.375,4.334,5.455,6.81,8.133,9.551,11.164,12.591,13.978,14.963,15.532,15.445,15.403,14.411,13.485,12.565,11.273,10.096,8.974,7.929,6.927,6.253,5.394,3047.525,5000,4,0,50,1000,false
11.574,19.862,51.282,121.677,246.259,386.733,464.752,440.923,351.581,250.241,167.614,107.249,67.567,41.585,25.576,15.412,9.342,5.835,3.771,2.428,1.683,1.365,1.283,1.458,1.713,2.051,2.614,3.174,4.008,5.103,6.39,7.613,9.06,10.562,12.136,13.574,14.49,15.317,15.824,15.605,15.11,14.187,13.164,11.711,10.821,9.565,8.555,7.438,6.58,5.888,3039.305,5000,4,500,50,1000,false
11.483,19.599,50.817,120.907,243,381.022,457.911,440.699,351.116,251.614,168.526,107.785,67.619,41.606,25.728,15.665,9.327,5.968,3.588,2.419,1.698,1.378,1.33,1.378,1.7,1.968,2.448,3.016,3.764,4.748,5.751,7.055,8.651,9.95,11.452,13.093,13.975,14.965,15.686,15.632,15.354,14.282,13.578,12.594,11.333,10.296,9.416,8.134,6.981,6.212,3024.217,5000,4,1000,50,1000,false
11.261,19.561,50.592,119.269,241.544,381.985,462.187,439.089,347.726,247.812,164.026,105.624,65.738,40.772,24.638,15.306,9.23,5.724,3.613,2.292,1.708,1.302,1.321,1.433,1.633,2.022,2.395,3.013,3.779,4.631,5.593,6.984,8.307,9.803,11.263,12.774,13.889,14.946,15.51,15.433,15.521,14.938,13.831,13.242,12.107,10.916,9.77,8.632,7.736,6.872,3009.293,5000,4,1500,50,1000,false
11.369,19.71,51.197,122.414,243.268,383.614,455.234,431.449,342.953,242.93,161.489,104.421,65.829,40.709,25.131,15.269,9.475,5.8,3.617,2.353,1.691,1.337,1.286,1.415,1.626,1.848,2.388,2.809,3.532,4.281,5.254,6.407,7.658,9.095,10.607,12.053,13.387,14.266,14.966,15.412,15.533,15.357,14.566,13.633,12.755,11.55,10.474,9.58,8.442,7.318,2988.757,5000,4,2000,50,1000,false
11.693,20.335,52.073,122,243.007,378.85,453.686,428.278,338.786,240.364,159.063,103.003,65.142,40.407,24.978,15.408,9.497,5.638,3.574,2.403,1.651,1.339,1.215,1.386,1.629,1.811,2.166,2.671,3.236,4.148,4.98,6.064,7.333,8.534,9.94,11.509,12.699,13.576,14.661,15.177,15.46,14.906,14.441,13.952,13.296,12.145,11.093,10.223,9,8.256,2966.682,5000,4,2500,50,1000,false
11.704,20.017,51.665,122.62,243.449,379.203,452.639,426.663,334.769,234.188,154.973,100.131,63.775,39.184,24.095,15.088,9.14,5.408,3.41,2.26,1.676,1.328,1.305,1.412,1.546,1.82,2.213,2.653,3.27,4.009,4.718,5.76,6.948,8.262,9.459,11.136,12.197,13.251,14.209,14.78,15.215,15.418,15.012,14.394,13.615,12.869,11.861,10.838,9.855,8.734,2944.144,5000,4,3000,50,1000,false
11.661,20.172,51.99,122.838,243.242,376.198,449.536,421.627,329.849,230.132,153.029,99.806,62.937,39.247,24.11,14.908,9.165,5.672,3.628,2.316,1.695,1.397,1.324,1.35,1.552,1.773,2.179,2.616,3.128,3.721,4.725,5.695,6.602,7.868,8.995,10.45,11.683,12.947,13.597,14.367,14.951,14.821,14.77,14.527,13.863,13.047,12.118,10.859,9.995,9.037,2917.715,5000,4,3500,50,1000,false
11.379,19.719,51.105,121.367,241.75,377.672,449.306,419.469,323.971,224.489,148.823,95.733,61.127,37.762,23.283,14.579,8.917,5.436,3.428,2.237,1.583,1.372,1.321,1.336,1.542,1.748,2.099,2.396,2.91,3.438,4.067,4.901,5.939,6.973,8.051,9.217,10.417,11.634,12.695,13.501,14.256,14.722,14.927,14.76,14.204,13.724,12.968,11.975,11.073,10.004,2881.305,5000,4,4000,50,1000,false
11.473,20.01,50.68,121.428,240.842,371.925,441.043,410.181,317.679,222.813,148.769,96.825,62.344,38.854,24.285,15.006,9.246,5.742,3.522,2.438,1.701,1.421,1.287,1.427,1.552,1.691,1.956,2.172,2.733,3.133,3.711,4.474,5.223,6.044,6.923,8.203,9.156,10.388,11.435,12.585,13.311,13.575,14.142,14.151,14.286,13.805,13.244,12.655,11.717,10.895,2844.101,5000,4,4500,50,1000,false
