average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
8.345,7.618,13.71,24.417,43.332,72.407,116.387,177.292,246.673,310.536,344.227,334.256,289.226,226.156,165.167,115.439,78.901,53.316,35.738,23.709,15.898,10.866,7.756,5.897,4.829,4.392,4.296,4.791,5.425,6.353,7.607,8.801,10.398,12.207,13.752,15.476,17.032,18.178,18.213,18.409,17.758,16.558,15.428,14.059,12.43,10.835,9.8,8.484,7.607,6.531,3016.918,5000,4,0,50,1000,true
8.312,7.628,13.303,23.756,41.77,71.044,113.762,173.176,243.217,305.934,340.21,331.942,289.041,226.922,167.031,118.386,80.779,54.535,36.907,24.391,16.507,11.356,8.081,6.035,4.945,4.482,4.488,4.744,5.381,6.379,7.357,8.444,10.229,11.947,13.766,15.438,16.995,18.19,18.435,18.419,17.949,16.941,16.072,14.576,13.082,11.571,10.085,8.96,7.804,6.917,3007.621,5000,4,500,50,1000,true
8.43,7.75,13.907,24.687,43.168,71.806,115.035,174.764,244.182,305.338,336.894,327.016,284.081,223.573,163.423,115.006,79.686,53.991,36.372,24.094,16.186,11.138,8.028,5.929,4.909,4.382,4.408,4.814,5.453,6.356,7.418,8.712,10.206,11.966,13.604,15.351,16.797,18.104,18.936,19.049,18.585,17.512,16.65,15.013,13.554,12.324,10.526,9.449,8.393,7.373,2994.328,5000,4,1000,50,1000,true
8.382,7.676,13.463,24.327,42.825,71.208,113.185,171.44,240.129,300.958,331.168,324.05,280.532,220.987,163.654,116.177,80.131,55.546,37.346,24.818,17.068,11.611,8.361,6.34,5.072,4.719,4.556,4.916,5.585,6.283,7.464,8.62,10.249,11.917,13.633,15.189,17.096,18,18.919,19.44,18.985,18.192,17.023,15.735,14.24,12.773,11.427,9.892,8.604,7.678,2977.589,5000,4,1500,50,1000,true
8.389,7.727,13.941,24.654,42.711,70.865,111.387,169.984,236.159,294.854,326.138,316.161,274.947,217.594,163.671,116.525,81.591,56.171,38.336,26.049,17.867,12.201,8.816,6.667,5.309,5,4.783,5.147,5.906,6.5,7.489,8.897,10.308,12.241,13.908,15.652,17.327,18.187,19.327,19.585,19.29,18.623,17.585,16.083,14.61,13.41,11.814,10.232,9.042,8.02,2957.68,5000,4,2000,50,1000,true
8.288,7.341,13.167,23.614,41.39,67.555,107.99,164.026,228.455,286.662,320.318,313.35,273.679,218.188,163.947,117.942,83.536,58.361,40.003,27.223,18.55,13.11,9.51,7.145,5.893,5.213,5.212,5.489,6.045,6.822,7.894,9.147,10.625,12.235,14.122,15.894,17.464,18.823,19.755,20.229,19.862,19.325,18.292,16.454,15.109,13.68,12.093,10.581,9.468,8.21,2937.286,5000,4,2500,50,1000,true
8.352,7.532,13.499,24.004,40.85,66.792,107.096,160.543,223.527,279.525,308.612,303.141,266.33,214.893,163.455,120.294,85.85,60.223,42.165,28.968,20.045,13.922,10.139,7.866,6.448,5.756,5.719,5.852,6.314,7.223,8.287,9.398,10.872,12.597,14.61,16.227,17.796,19.437,20.302,20.266,20.634,19.638,18.617,17.288,15.862,14.419,12.394,10.975,9.665,8.541,2912.76,5000,4,3000,50,1000,true
8.277,7.655,13.619,24.171,40.916,66.844,106.372,158.773,219.188,272.482,301.388,294.508,258.878,210.431,161.587,120.78,87.556,61.931,43.39,30.362,20.9,14.969,11.003,8.35,6.968,6.509,6.07,6.212,6.643,7.417,8.295,9.603,11.346,12.948,14.877,16.711,18.217,19.625,20.719,20.928,20.694,20.281,18.864,17.579,16.279,14.397,13.039,11.318,9.872,8.621,2888.362,5000,4,3500,50,1000,true
8.503,7.607,13.697,24.588,40.945,65.881,103.795,155.567,215.476,266.214,293.011,287.128,251.877,205.568,159.852,120.116,88.002,62.871,44.644,31.38,22.34,15.884,11.875,9.135,7.641,6.796,6.614,6.668,7.113,7.741,8.604,9.95,11.506,13.507,14.979,17.175,18.645,19.749,20.802,20.946,20.681,20.512,19.308,18.12,16.437,14.864,13,11.706,10.114,8.872,2858.006,5000,4,4000,50,1000,true
8.47,7.748,13.622,24.973,41.125,65.98,103.39,154.547,211.371,260.401,284.961,277.68,244.628,199.849,156.47,118.588,87.066,63.177,44.773,31.929,22.53,16.315,12.312,9.431,7.977,7.166,6.884,6.943,7.476,8.058,9.258,10.562,11.787,13.68,15.478,17.552,19.105,20.487,21.01,21.686,21.329,20.972,19.836,18.981,17.084,15.362,13.679,12.124,10.409,9.043,2825.264,5000,4,4500,50,1000,true
