average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
22.363,81.588,294.543,651.205,765.111,548.151,312.242,168.928,89.81,46.964,24.214,12.641,6.34,3.423,1.808,0.923,0.479,0.266,0.143,0.127,0.122,0.158,0.206,0.262,0.334,0.456,0.602,0.814,1.118,1.489,1.943,2.369,3.096,3.67,4.323,5.146,5.773,6.358,6.912,7.035,6.973,6.929,6.478,6.255,5.711,5.353,4.882,4.454,3.903,3.529,3137.922,5000,4,0,50,1000,false
21.952,79.902,288.743,644.111,767.296,550.747,314.25,169.993,90.298,46.466,24.144,12.345,6.432,3.291,1.707,0.91,0.46,0.248,0.159,0.118,0.127,0.139,0.223,0.268,0.358,0.474,0.578,0.753,1.021,1.368,1.641,2.209,2.687,3.298,4.012,4.611,5.21,5.681,6.139,6.24,6.456,6.351,6.064,5.859,5.274,5.025,4.623,4.232,3.761,3.485,3121.739,5000,4,500,50,1000,false
21.643,79.847,289.575,644.331,763.589,549.32,314.749,170.067,89.293,46.094,24.067,12.314,6.277,3.139,1.633,0.882,0.451,0.262,0.14,0.119,0.108,0.125,0.212,0.261,0.275,0.397,0.523,0.674,0.906,1.139,1.529,1.925,2.431,2.941,3.633,4.157,4.78,5.216,5.653,5.891,6.019,6.078,5.888,5.776,5.509,5.127,4.678,4.324,3.813,3.48,3111.26,5000,4,1000,50,1000,false
21.689,79.762,286.356,634.081,761.123,555.692,316.77,169.218,88.168,45.777,23.738,12.347,6.249,3.27,1.66,0.795,0.438,0.211,0.154,0.098,0.111,0.126,0.153,0.199,0.261,0.349,0.466,0.632,0.822,1.025,1.351,1.768,2.165,2.718,3.238,3.668,4.444,4.968,5.33,5.592,5.747,5.901,5.681,5.578,5.272,5.008,4.527,4.125,3.874,3.415,3096.11,5000,4,1500,50,1000,false
22.124,80.435,291.34,641.193,763.99,549.884,310.615,161.851,84.869,43.975,22.699,11.614,5.914,2.992,1.587,0.772,0.397,0.216,0.141,0.131,0.125,0.121,0.172,0.203,0.257,0.333,0.453,0.552,0.733,0.961,1.197,1.564,1.974,2.47,2.905,3.357,3.964,4.611,4.839,5.232,5.428,5.653,5.632,5.602,5.296,5.024,4.723,4.372,4.117,3.726,3082.335,5000,4,2000,50,1000,false
22.342,81.047,291.338,645.46,763.562,544.936,304.22,158.383,81.849,43.5,22.455,11.404,5.792,3.008,1.608,0.78,0.41,0.212,0.123,0.087,0.101,0.118,0.17,0.203,0.267,0.307,0.415,0.543,0.69,0.832,1.104,1.459,1.8,2.093,2.588,2.934,3.525,4.133,4.491,4.637,5.075,5.213,5.385,5.215,5.1,4.776,4.468,4.152,3.743,3.542,3061.595,5000,4,2500,50,1000,false
21.423,78.922,288.562,644.204,765.628,546.843,302.312,154.614,80.388,42.567,22.11,11.248,5.715,2.922,1.472,0.764,0.384,0.212,0.126,0.089,0.105,0.103,0.142,0.201,0.241,0.273,0.359,0.502,0.582,0.759,0.98,1.204,1.503,1.901,2.17,2.536,2.924,3.423,3.793,4.002,4.42,4.457,4.516,4.73,4.416,4.154,4.008,3.77,3.64,3.14,3039.459,5000,4,3000,50,1000,false
21.119,77.513,283.478,635.602,762.524,550.962,302.925,153.458,79.734,42.846,21.875,11.196,5.699,2.893,1.457,0.777,0.406,0.212,0.127,0.076,0.112,0.133,0.135,0.153,0.203,0.276,0.387,0.487,0.57,0.664,0.887,1.18,1.424,1.649,1.98,2.276,2.764,3.065,3.425,3.763,3.946,4.163,4.3,4.414,4.265,4.298,3.924,3.79,3.572,3.201,3020.285,5000,4,3500,50,1000,false
21.3,77.824,283.407,638.932,765.016,544.989,297.345,148.247,77.575,41.373,21.075,10.545,5.27,2.72,1.333,0.678,0.355,0.196,0.132,0.106,0.081,0.115,0.131,0.159,0.173,0.248,0.278,0.356,0.464,0.562,0.713,0.849,0.991,1.258,1.578,1.834,2.077,2.375,2.67,2.922,3.226,3.27,3.466,3.515,3.563,3.413,3.408,3.248,2.98,2.834,2991.175,5000,4,4000,50,1000,false
21.928,80.07,286.858,638.578,758.282,540.476,294.051,145.933,76.069,40.184,20.367,10.032,5.181,2.687,1.286,0.647,0.349,0.186,0.094,0.076,0.073,0.102,0.131,0.147,0.181,0.209,0.268,0.278,0.39,0.458,0.571,0.695,0.928,1.007,1.233,1.373,1.651,1.914,2.049,2.373,2.559,2.805,2.925,3.022,3.003,3.084,3.036,2.878,2.766,2.554,2967.997,5000,4,4500,50,1000,false
