average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
22.902,82.284,308.589,736.847,877.162,563.141,273.058,130.472,61.577,29.621,14.692,6.911,3.301,1.52,0.848,0.438,0.207,0.11,0.049,0.037,0.042,0.061,0.084,0.093,0.158,0.18,0.261,0.338,0.469,0.669,0.787,0.984,1.352,1.642,2.098,2.445,2.736,2.966,3.242,3.563,3.535,3.546,3.406,3.206,2.959,2.758,2.601,2.326,2.095,1.867,3166.235,5000,4,0,50,1000,true
23.779,85.622,315.389,739.904,872.226,557.396,270.143,128.079,60.556,28.792,14.23,6.827,3.196,1.575,0.807,0.376,0.175,0.089,0.05,0.048,0.028,0.048,0.11,0.11,0.121,0.166,0.238,0.285,0.44,0.557,0.778,0.982,1.265,1.617,1.916,2.252,2.599,3.008,3.086,3.333,3.46,3.554,3.384,3.294,3.111,2.856,2.65,2.419,2.231,2.017,3161.174,5000,4,500,50,1000,true
23.21,84.564,314.537,739.083,869.793,559.116,270.77,126.691,59.153,28.469,13.92,6.693,3.203,1.485,0.749,0.311,0.173,0.084,0.055,0.039,0.036,0.052,0.088,0.101,0.126,0.161,0.198,0.294,0.379,0.539,0.653,0.873,1.049,1.277,1.605,1.904,2.162,2.475,2.589,2.879,3.035,2.928,2.917,2.976,2.812,2.472,2.368,2.21,2.002,1.769,3147.027,5000,4,1000,50,1000,true
23.636,86.986,318.762,747.675,870.859,551.757,264.101,121.57,56.658,27.516,13.53,6.436,3.048,1.366,0.685,0.339,0.171,0.082,0.053,0.033,0.041,0.045,0.066,0.092,0.125,0.131,0.209,0.265,0.363,0.436,0.562,0.759,0.959,1.246,1.456,1.702,1.942,2.308,2.499,2.527,2.719,2.718,2.67,2.675,2.612,2.457,2.209,1.96,1.926,1.743,3136.685,5000,4,1500,50,1000,true
23.205,85.913,316.45,739.297,866.537,556.697,267.374,121.718,56.67,27.961,14.025,6.487,3.086,1.418,0.668,0.374,0.181,0.085,0.043,0.038,0.037,0.046,0.076,0.105,0.115,0.141,0.219,0.239,0.33,0.418,0.532,0.73,0.903,1.115,1.449,1.613,1.871,2.221,2.375,2.507,2.648,2.667,2.733,2.657,2.545,2.517,2.364,2.126,1.883,1.792,3129.201,5000,4,2000,50,1000,true
24.106,87.114,321.851,748.584,867.475,548.523,256.985,115.111,54.241,27.373,13.387,6.379,3.027,1.442,0.685,0.335,0.167,0.069,0.048,0.045,0.043,0.048,0.067,0.083,0.104,0.13,0.16,0.225,0.312,0.401,0.55,0.69,0.907,1.058,1.212,1.535,1.698,1.935,2.155,2.351,2.37,2.5,2.588,2.507,2.34,2.224,2.197,1.943,1.817,1.68,3114.777,5000,4,2500,50,1000,true
23.664,84.759,313.912,740.269,874.46,552.025,257.101,113.345,53.734,27.437,13.365,6.251,2.937,1.492,0.694,0.33,0.152,0.077,0.055,0.043,0.045,0.055,0.063,0.085,0.096,0.117,0.156,0.235,0.237,0.38,0.415,0.575,0.701,0.932,1.045,1.215,1.479,1.668,1.877,2.032,2.159,2.292,2.298,2.286,2.293,2.09,2.083,1.87,1.855,1.604,3100.34,5000,4,3000,50,1000,true
23.426,86.529,320.241,747.161,871.419,543.664,249.45,108.285,52.842,26.422,12.744,6.051,2.839,1.42,0.671,0.32,0.146,0.085,0.044,0.041,0.036,0.037,0.059,0.081,0.076,0.107,0.155,0.217,0.231,0.307,0.425,0.524,0.645,0.812,0.926,1.124,1.304,1.421,1.638,1.75,1.743,1.933,1.892,1.971,2.022,1.897,1.84,1.689,1.573,1.452,3083.687,5000,4,3500,50,1000,true
23.138,85.088,314.917,739.364,869.185,546.869,248.909,107.871,52.881,26.919,12.897,5.858,2.908,1.376,0.683,0.308,0.142,0.072,0.063,0.036,0.042,0.042,0.053,0.074,0.072,0.109,0.14,0.186,0.232,0.26,0.319,0.354,0.508,0.589,0.704,0.84,1.007,1.13,1.306,1.437,1.507,1.584,1.668,1.722,1.742,1.665,1.707,1.595,1.489,1.409,3064.976,5000,4,4000,50,1000,true
23.682,86.852,318.844,745.555,865.022,539.138,242.211,104.275,52.341,26.405,12.056,5.672,2.703,1.278,0.588,0.31,0.154,0.061,0.038,0.025,0.035,0.059,0.04,0.068,0.088,0.087,0.119,0.133,0.155,0.219,0.238,0.312,0.361,0.442,0.577,0.715,0.797,0.903,0.962,1.07,1.074,1.199,1.26,1.288,1.327,1.353,1.19,1.295,1.206,1.076,3046.858,5000,4,4500,50,1000,true
