average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
15.74,34.503,98.402,250.502,497.812,671.532,600.892,393.465,219.422,115.13,60.437,32.679,17.916,9.545,4.922,2.625,1.484,0.83,0.455,0.27,0.231,0.199,0.234,0.324,0.379,0.48,0.635,0.819,1.153,1.463,1.927,2.519,3.214,3.942,4.777,5.741,6.375,7.035,7.695,7.968,7.971,7.854,7.695,7.293,6.774,6.155,5.595,4.952,4.464,3.926,3148.352,5000,4,0,50,1000,true
15.361,33.663,96.838,246.113,491.199,668.009,603.64,395.531,221.226,116.176,61.009,32.273,17.693,9.524,4.906,2.628,1.373,0.802,0.456,0.267,0.208,0.165,0.238,0.285,0.372,0.449,0.599,0.744,1.133,1.37,1.83,2.386,3.056,3.675,4.476,5.342,6.161,6.759,7.279,7.668,7.792,7.79,7.455,7.224,6.717,6.215,5.637,5.259,4.669,4.037,3135.677,5000,4,500,50,1000,true
15.51,34.199,99.819,253.488,500.255,672.001,595.764,387.09,214.684,111.486,58.96,31.399,17.212,9.105,4.831,2.551,1.297,0.725,0.396,0.264,0.192,0.182,0.229,0.284,0.316,0.482,0.563,0.788,0.94,1.306,1.758,2.191,2.808,3.456,4.141,4.983,5.646,6.479,7.029,7.284,7.488,7.502,7.467,7.205,6.762,6.271,5.776,5.167,4.632,4.243,3124.606,5000,4,1000,50,1000,true
15.335,33.703,96.125,246.404,493.32,669.736,601.339,390.561,213.309,111.158,58.904,32.198,17.209,9.247,4.788,2.663,1.405,0.704,0.422,0.271,0.19,0.191,0.205,0.307,0.344,0.404,0.59,0.722,0.959,1.187,1.605,2.162,2.589,3.312,3.991,4.7,5.398,6.116,6.877,7.049,7.583,7.454,7.563,7.262,6.685,6.353,5.823,5.394,4.872,4.315,3111.003,5000,4,1500,50,1000,true
15.08,33.085,94.826,243.474,487.08,667.143,599.826,391.417,212.872,111.119,59.405,32.761,17.632,9.491,4.948,2.658,1.406,0.755,0.443,0.286,0.201,0.178,0.224,0.288,0.357,0.384,0.528,0.715,0.9,1.152,1.519,1.998,2.45,3.021,3.554,4.365,5.009,5.652,6.234,6.761,7.008,7.278,7.203,7.047,6.826,6.44,5.94,5.528,4.886,4.454,3093.807,5000,4,2000,50,1000,true
15.435,34.206,98.737,250.979,496.735,668.745,590.952,378.917,203.428,106.464,58.288,31.689,17.362,9.074,4.9,2.587,1.338,0.8,0.38,0.27,0.211,0.201,0.2,0.26,0.338,0.454,0.544,0.667,0.863,1.139,1.522,1.89,2.389,2.984,3.463,4.125,4.732,5.492,5.935,6.416,6.783,6.812,6.841,6.765,6.527,6.157,5.804,5.534,4.94,4.512,3075.786,5000,4,2500,50,1000,true
15.168,33.224,94.069,243.625,487.558,665.575,594.502,379.208,203.091,106.63,58.724,32.863,17.743,9.444,5.022,2.702,1.424,0.769,0.465,0.279,0.206,0.2,0.2,0.268,0.299,0.368,0.518,0.661,0.81,1.069,1.382,1.629,2.141,2.638,3,3.656,4.329,5.112,5.437,6.014,6.246,6.619,6.866,6.462,6.574,6.336,6.036,5.775,5.15,4.856,3052.942,5000,4,3000,50,1000,true
15.407,33.217,95.689,245.787,488.57,660.524,587.175,374.137,199.85,106.425,60.167,32.708,17.809,9.56,5.023,2.711,1.506,0.802,0.436,0.304,0.217,0.183,0.221,0.261,0.349,0.379,0.523,0.606,0.802,1.02,1.265,1.65,1.982,2.491,2.971,3.459,4.078,4.525,5.113,5.638,5.94,6.276,6.351,6.499,6.343,6.314,5.984,5.485,5.142,4.624,3034.498,5000,4,3500,50,1000,true
15.344,33.789,97.292,248.831,492.489,660.908,581.312,364.133,192.127,103.188,58.348,32.559,17.374,9.417,5.03,2.672,1.456,0.821,0.454,0.297,0.24,0.248,0.269,0.275,0.365,0.436,0.622,0.705,0.874,1.103,1.407,1.667,2.037,2.444,2.884,3.376,3.911,4.453,4.763,5.28,5.597,6.016,6.017,6.158,6.152,5.986,5.641,5.499,4.977,4.602,3011.845,5000,4,4000,50,1000,true
15.316,33.506,94.799,241.385,477.746,647.412,580.429,368.906,195.974,107.254,61.384,33.638,17.801,9.597,5.169,2.803,1.543,0.833,0.491,0.299,0.251,0.202,0.229,0.296,0.336,0.383,0.447,0.627,0.747,0.938,1.097,1.413,1.64,2.016,2.319,2.797,3.092,3.657,4.046,4.49,4.864,5.239,5.415,5.739,5.815,5.732,5.755,5.292,5.224,4.948,2981.331,5000,4,4500,50,1000,true
